ID_Parcela;Predio;INDV;CAP_cm;DAP_cm;Angulo -;Angulo +;Angulo +2;Distancia;HT_m;HC_m;Ctronco;A_Basal (m2);Vol_T;Vol_C
PL129;Pericuara ;10;31,50;10,03;10,00;20,00;0,00;15,00;4,50;1,50;;0,01;0,02;0,01
PL129;Pericuara ;10;31,50;10,03;10;20;0;15,00;4,50;1,50;;0,01;0,02;0,01
PL169;Pericuara ;43;31,5;10,03;10;35;10;19,84;8,93;3,97;;0,01;0,03;0,01
PL154;Pericuara ;9;31,50;10,03;10;35;15;20,22;9,10;5,06;;0,01;0,03;0,02
PO6;Pericuara ;32;31,60;10,06;10,00;40,00;20,00;6,66;3,33;2,00;1;0,01;0,01;0,01
PL9;Pericuara ;32B;31,60;10,06;10,00;35,00;20,00;14,70;6,62;4,41;2;0,01;0,02;0,02
PL8;Pericuara ;28;31,60;10,06;10,00;30,00;5,00;17,80;7,12;2,67;2;0,01;0,03;0,01
PL33;Pericuara ;21;31,60;10,06;10,00;25,00;0,00;21,80;7,63;2,18;2;0,01;0,03;0,01
PL129;Pericuara ;3;31,70;10,09;10,00;30,00;0,00;12,30;4,92;1,23;3;0,01;0,02;0,00
PL129;Pericuara ;3;31,70;10,09;10;30;0;12,3;4,92;1,23;3;0,01;0,02;0,00
PL163;Pericuara ;13;31,70;10,09;10;30;15;17;6,80;4,25;2;0,01;0,02;0,02
PL1;Pericuara ;14;31,80;10,12;10,00;10,00;5,00;19,60;3,92;2,94;;0,01;0,01;0,01
PL8;Pericuara ;18;31,80;10,12;10,00;40,00;5,00;8,00;4,00;1,20;;0,01;0,01;0,00
PL8;Pericuara ;21;31,80;10,12;10,00;15,00;10,00;16,10;4,03;3,22;;0,01;0,01;0,01
PL139;Pericuara ;27;31,8;10,12;10;15;0;17,95;4,49;1,80;;0,01;0,02;0,01
PL6;Pericuara ;48;31,80;10,12;10,00;30,00;10,00;18,22;7,29;3,64;;0,01;0,03;0,01
PL6;Pericuara ;23B;31,80;10,12;10,00;40,00;10,00;19,80;9,90;3,96;;0,01;0,04;0,01
PL37;Pericuara ;1;31,90;10,15;10,00;10,00;0,00;7,27;1,45;0,73;2;0,01;0,01;0,00
PL110;Pericuara ;15;31,90;10,15;20,00;10,00;0,00;11,00;3,30;2,20;;0,01;0,01;0,01
PL32;Pericuara ;24;31,90;10,15;10,00;10,00;0,00;19,30;3,86;1,93;;0,01;0,01;0,01
PL37;Pericuara ;23;31,90;10,15;10,00;10,00;0,00;20,10;4,02;2,01;;0,01;0,01;0,01
PL37;Pericuara ;42;31,90;10,15;10,00;10,00;0,00;21,70;4,34;2,17;2;0,01;0,02;0,01
PL37;Pericuara ;16B;31,90;10,15;10,00;20,00;0,00;14,60;4,38;1,46;;0,01;0,02;0,01
PL87;Pericuara ;10;31,90;10,15;10,00;20,00;0,00;15,40;4,62;1,54;;0,01;0,02;0,01
PL37;Pericuara ;21;31,90;10,15;10,00;15,00;5,00;18,70;4,68;2,81;;0,01;0,02;0,01
PL34;Pericuara ;29;31,90;10,15;10,00;30,00;0,00;12,40;4,96;1,24;;0,01;0,02;0,00
PL69;Pericuara ;14;31,90;10,15;10,00;40,00;0,00;10,20;5,10;1,02;2;0,01;0,02;0,00
PL37;Pericuara ;19;31,90;10,15;10,00;10,00;0,00;25,70;5,14;2,57;;0,01;0,02;0,01
PL54;Pericuara ;18;31,90;10,15;10,00;15,00;0,00;22,70;5,68;2,27;;0,01;0,02;0,01
PL32;Pericuara ;31;31,90;10,15;10,00;20,00;0,00;19,70;5,91;1,97;2;0,01;0,02;0,01
PL34;Pericuara ;29D;31,90;10,15;10,00;50,00;0,00;12,60;7,56;1,26;;0,01;0,03;0,00
PL127;Pericuara ;14;31,90;10,15;10,00;35,00;0,00;17,20;7,74;1,72;2;0,01;0,03;0,01
PL87;Pericuara ;12;31,90;10,15;10,00;32,00;0,00;18,80;7,90;1,88;;0,01;0,03;0,01
PL1;Pericuara ;21;31,90;10,15;10,00;30,00;0,00;20,20;8,08;2,02;;0,01;0,03;0,01
PL34;Pericuara ;21B;31,90;10,15;10,00;40,00;0,00;16,33;8,17;1,63;;0,01;0,03;0,01
PL29;Pericuara ;7;31,90;10,15;10,00;50,00;0,00;13,70;8,22;1,37;;0,01;0,03;0,01
PL3;Pericuara ;2;31,90;10,15;10,00;25,00;0,00;25,20;8,82;2,52;2;0,01;0,03;0,01
