ID_Parcela;Predio;INDV;CAP;DAP_cm;Angulo -;Angulo +;Angulo +2;Distancia;HT_m;HC_m;Ctronco;A_Basal (m2);Vol_T;Vol_C;;;;;;;
 PO67;Porvenir;35;32,30;10,28;10;45;0;19,00;10,45;1,90;;0,01;0,04;0,01;;;;;;;
 PO67;Porvenir;36B;33,50;10,66;10;25;0;24,40;8,54;2,44;;0,01;0,03;0,01;;;;;;;
 PO67;Porvenir;23;34,60;11,01;10;35;0;26,40;11,88;2,64;;0,01;0,05;0,01;;;;;;;
 PO67;Porvenir;40;35,70;11,36;10;50;20;20,30;12,18;6,09;;0,01;0,06;0,03;;;;;;;
 PO67;Porvenir;13C;39,30;12,51;10;50;0;22,40;13,44;2,24;;0,01;0,07;0,01;;;;;;;
 PO67;Porvenir;46;39,30;12,51;10;35;0;22,70;10,22;2,27;;0,01;0,06;0,01;;;;;;;
 PO67;Porvenir;13;40,70;12,96;10;50;10;22,30;13,38;4,46;;0,01;0,08;0,03;;;;;;;
 PO67;Porvenir;8;42,30;13,46;10;35;0;19,20;8,64;1,92;;0,01;0,06;0,01;;;;;;F.F;Años 
 PO67;Porvenir;20;42,30;13,46;10;40;0;16,10;8,05;1,61;;0,01;0,05;0,01;;;;;;0,452;5
 PO67;Porvenir;13B;43,00;13,69;10;50;10;22,20;13,32;4,44;;0,01;0,09;0,03;;;;;;0,431;10
 PO67;Porvenir;28;43,90;13,97;10;40;0;23,80;11,90;2,38;;0,02;0,08;0,02;;;;;;;
 PO67;Porvenir;12;45,50;14,48;10;50;15;21,90;13,14;5,48;;0,02;0,10;0,04;;;;;;;
 PO67;Porvenir;4;46,00;14,64;10;45;20;20,20;11,11;6,06;;0,02;0,08;0,05;;;;;;;
 PO67;Porvenir;48;46,50;14,80;10;40;15;17,70;8,85;4,43;;0,02;0,07;0,03;;;;;;;
 PO67;Porvenir;12B;46,70;14,87;10;50;15;21,70;13,02;5,43;;0,02;0,10;0,04;;;;;;;
 PO67;Porvenir;22;47,30;15,06;10;50;20;23,70;14,22;7,11;;0,02;0,11;0,06;;;;;;;
 PO67;Porvenir;15;47,60;15,15;10;45;5;21,10;11,61;3,17;;0,02;0,09;0,03;;;;;;;
 PO67;Porvenir;1;47,70;15,18;10;30;10;16,90;6,76;3,38;;0,02;0,06;0,03;;;;;;;
 PO67;Porvenir;42;48,20;15,34;10;45;10;22,80;12,54;4,56;;0,02;0,10;0,04;;;;;;;
 PO67;Porvenir;2;48,70;15,50;10;65;20;15,90;11,93;4,77;;0,02;0,10;0,04;;;;;;;
 PO67;Porvenir;47;50,30;16,01;10;35;0;20,20;9,09;2,02;;0,02;0,08;0,02;;;;;;;
 PO67;Porvenir;34;50,60;16,11;10;45;15;17,40;9,57;4,35;;0,02;0,09;0,04;;;;;;;
 PO67;Porvenir;41;52,50;16,71;10;40;15;20,10;10,05;5,03;;0,02;0,10;0,05;;;;;;;
 PO67;Porvenir;25;52,60;16,74;10;60;15;18,50;12,95;4,63;;0,02;0,13;0,05;;;;;;;
 PO67;Porvenir;51;53,00;16,87;10;60;10;20,20;14,14;4,04;;0,02;0,14;0,04;;;;;;;
 PO67;Porvenir;44;53,50;17,03;10;50;20;23,02;13,81;6,91;;0,02;0,14;0,07;;;;;;;
 PO67;Porvenir;10;56,40;17,95;10;60;20;21,40;14,98;6,42;;0,03;0,17;0,07;;;;;;;
 PO67;Porvenir;14;56,70;18,05;10;50;25;22,90;13,74;8,02;;0,03;0,16;0,09;;;;;;;
 PO67;Porvenir;38;56,80;18,08;10;50;20;22,60;13,56;6,78;;0,03;0,16;0,08;;;;;;;
 PO67;Porvenir;9;57,60;18,33;10;45;15;22,55;12,40;5,64;;0,03;0,15;0,07;;;;;;;
 PO67;Porvenir;7;57,60;18,33;10;40;15;24,20;12,10;6,05;;0,03;0,14;0,07;;;;;;;
 PO67;Porvenir;32;59,30;18,88;10;45;15;27,20;14,96;6,80;;0,03;0,19;0,09;;;;;;;
 PO67;Porvenir;6;59,40;18,91;10;50;30;20,20;12,12;8,08;;0,03;0,15;0,10;;;;;;;
 PO67;Porvenir;45;59,70;19,00;10;60;20;20,10;14,07;6,03;;0,03;0,18;0,08;;;;;;;
 PO67;Porvenir;30;60,00;19,10;10;50;20;26,40;15,84;7,92;;0,03;0,21;0,10;;;;;;;
 PO67;Porvenir;5;60,20;19,16;10;50;15;22,50;13,50;5,63;;0,03;0,18;0,07;;;;;;;
 PO67;Porvenir;50;60,30;19,19;10;55;15;22,60;14,69;5,65;;0,03;0,19;0,07;;;;;;;
 PO67;Porvenir;27;60,40;19,23;10;50;20;25,30;15,18;7,59;;0,03;0,20;0,10;;;;;;;
 PO67;Porvenir;51B;60,90;19,39;10;60;15;20,60;14,42;5,15;;0,03;0,19;0,07;;;;;;;
 PO67;Porvenir;39;61,30;19,51;10;55;25;24,10;15,67;8,44;;0,03;0,21;0,11;;;;;;;
 PO67;Porvenir;33;61,30;19,51;10;40;20;23,70;11,85;7,11;;0,03;0,16;0,10;;;;;;;
 PO67;Porvenir;53;61,50;19,58;10;55;10;21,00;13,65;4,20;;0,03;0,19;0,06;;;;;;;
 PO67;Porvenir;43;61,80;19,67;10;40;10;25,60;12,80;5,12;;0,03;0,18;0,07;;;;;;;
 PO67;Porvenir;30B;62,10;19,77;10;45;15;26,60;14,63;6,65;;0,03;0,20;0,09;;;;;;;
 PO67;Porvenir;29;62,40;19,86;10;50;15;25,30;15,18;6,33;;0,03;0,21;0,09;;;;;;;
 PO67;Porvenir;36;63,70;20,28;10;55;15;24,30;15,80;6,08;;0,03;0,23;0,09;;;;;;;
 PO67;Porvenir;11;63,70;20,28;10;55;15;16,80;10,92;4,20;;0,03;0,16;0,06;;;;;;;
 PO67;Porvenir;17;64,00;20,37;10;55;25;25,50;16,58;8,93;;0,03;0,24;0,13;;;;;;;
 PO67;Porvenir;26;64,90;20,66;10;50;15;16,30;9,78;4,08;;0,03;0,15;0,06;;;;;;;
 PO67;Porvenir;21;65,90;20,98;10;50;20;20,30;12,18;6,09;;0,03;0,19;0,10;;;;;;;
 PO67;Porvenir;52;66,40;21,14;10;45;10;23,50;12,93;4,70;;0,04;0,20;0,07;;;;;;;
 PO67;Porvenir;37;68,20;21,71;10;55;25;21,60;14,04;7,56;;0,04;0,23;0,13;;;;;;;
 PO67;Porvenir;24;73,40;23,36;10;50;30;25,10;15,06;10,04;;0,04;0,29;0,19;;;;;;;
 PO67;Porvenir;31;73,60;23,43;10;40;15;26,10;13,05;6,53;;0,04;0,25;0,13;;;;;;;
